0	Return_to_owner
1	Euthanasia
2	Adoption
3	Transfer
4	Transfer
5	Transfer
6	Transfer
7	Transfer
8	Adoption
9	Adoption
10	Transfer
11	Adoption
12	Adoption
13	Return_to_owner
14	Return_to_owner
15	Adoption
16	Transfer
17	Transfer
18	Transfer
19	Return_to_owner
20	Transfer
21	Transfer
22	Adoption
23	Adoption
24	Return_to_owner
25	Transfer
26	Adoption
27	Adoption
28	Adoption
29	Return_to_owner
30	Euthanasia
31	Transfer
32	Adoption
33	Return_to_owner
34	Transfer
35	Euthanasia
36	Return_to_owner
37	Transfer
38	Transfer
39	Transfer
40	Adoption
41	Transfer
42	Transfer
43	Transfer
44	Adoption
45	Return_to_owner
46	Return_to_owner
47	Transfer
48	Adoption
49	Euthanasia
50	Transfer
51	Adoption
52	Transfer
53	Adoption
54	Adoption
55	Transfer
56	Adoption
57	Transfer
58	Return_to_owner
59	Adoption
60	Transfer
61	Euthanasia
62	Transfer
63	Adoption
64	Transfer
65	Return_to_owner
66	Transfer
67	Transfer
68	Transfer
69	Adoption
70	Adoption
71	Transfer
72	Adoption
73	Return_to_owner
74	Return_to_owner
75	Transfer
76	Adoption
77	Euthanasia
78	Adoption
79	Transfer
80	Adoption
81	Euthanasia
82	Transfer
83	Transfer
84	Euthanasia
85	Adoption
86	Adoption
87	Transfer
88	Transfer
89	Adoption
90	Adoption
91	Adoption
92	Transfer
93	Euthanasia
94	Adoption
95	Adoption
96	Transfer
97	Adoption
98	Transfer
99	Adoption
100	Adoption
101	Transfer
102	Transfer
103	Transfer
104	Transfer
105	Return_to_owner
106	Adoption
107	Return_to_owner
108	Adoption
109	Return_to_owner
110	Return_to_owner
111	Euthanasia
112	Adoption
113	Transfer
114	Transfer
115	Euthanasia
116	Adoption
117	Transfer
118	Transfer
119	Return_to_owner
120	Return_to_owner
121	Adoption
122	Adoption
123	Euthanasia
124	Adoption
125	Adoption
126	Adoption
127	Transfer
128	Return_to_owner
129	Return_to_owner
130	Adoption
131	Return_to_owner
132	Adoption
133	Transfer
134	Return_to_owner
135	Transfer
136	Return_to_owner
137	Transfer
138	Transfer
139	Adoption
140	Adoption
141	Adoption
142	Transfer
143	Adoption
144	Adoption
145	Adoption
146	Adoption
147	Transfer
148	Adoption
149	Transfer
150	Adoption
151	Adoption
152	Transfer
153	Return_to_owner
154	Transfer
155	Adoption
156	Adoption
157	Transfer
158	Transfer
159	Adoption
160	Transfer
161	Adoption
162	Transfer
163	Adoption
164	Adoption
165	Return_to_owner
166	Adoption
167	Adoption
168	Return_to_owner
169	Transfer
170	Transfer
171	Adoption
172	Adoption
173	Transfer
174	Adoption
175	Transfer
176	Adoption
177	Adoption
178	Return_to_owner
179	Transfer
180	Return_to_owner
181	Transfer
182	Return_to_owner
183	Return_to_owner
184	Transfer
185	Transfer
186	Adoption
187	Transfer
188	Transfer
189	Adoption
190	Transfer
191	Adoption
192	Adoption
193	Adoption
194	Adoption
195	Transfer
196	Adoption
197	Adoption
198	Adoption
199	Return_to_owner
200	Transfer
201	Return_to_owner
202	Adoption
203	Euthanasia
204	Adoption
205	Adoption
206	Adoption
207	Return_to_owner
208	Transfer
209	Transfer
210	Transfer
211	Adoption
212	Adoption
213	Adoption
214	Return_to_owner
215	Adoption
216	Transfer
217	Transfer
218	Transfer
219	Transfer
220	Transfer
221	Transfer
222	Adoption
223	Transfer
224	Adoption
225	Adoption
226	Adoption
227	Euthanasia
228	Return_to_owner
229	Transfer
230	Return_to_owner
231	Return_to_owner
232	Return_to_owner
233	Transfer
234	Adoption
235	Adoption
236	Return_to_owner
237	Adoption
238	Return_to_owner
239	Transfer
240	Adoption
241	Adoption
242	Adoption
243	Adoption
244	Transfer
245	Adoption
246	Euthanasia
247	Return_to_owner
248	Return_to_owner
249	Transfer
250	Return_to_owner
251	Transfer
252	Adoption
253	Transfer
254	Adoption
255	Adoption
256	Transfer
257	Transfer
258	Adoption
259	Adoption
260	Transfer
261	Adoption
262	Adoption
263	Adoption
264	Return_to_owner
